branch_id,from_bus_id,to_bus_id,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax,branch_device_type,interconnect
1,1,5,0.000224,0.001073,0.0,0.0,0,0,0.0,0.0,1,0,0,-29.96,-86.74,29.98,86.82,0,0,0,0,Line,Eastern
2,1,6,0.000204,0.001031,0.0,0.0,0,0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,Line,Eastern
4,170,2,0.006301,0.031408,0.00524,186.85,0,0,0.0,0.0,1,0,0,-19.95,6.31,19.97,-6.75,0,0,0,0,Line,Eastern
6,234,5,0.0017,0.013149,0.02379,531.98,0,0,0.0,0.0,1,0,0,-39.03,43.64,39.09,-45.78,0,0,0,0,Line,Eastern
7,5,874,0.001581,0.014175,0.06171,600.42,0,0,0.0,0.0,1,0,0,-69.07,-41.05,69.16,35.2,0,0,0,0,Line,Eastern
8,8,7,0.00115,0.048145,0.0,233.11,0,0,1.0,0.0,1,0,0,-22.77,3.16,22.77,-2.93,0,0,0,0,Transformer,Eastern
9,7,9,0.000236,0.001112,0.0,0.0,0,0,0.0,0.0,1,0,0,11.48,5.9,-11.48,-5.89,0,0,0,0,Line,Eastern
10,7,29,0.001645,0.013786,0.03061,509.38,0,0,0.0,0.0,1,0,0,-14.86,-2.0,14.87,-1.3,0,0,0,0,Line,Eastern
11,7,477,0.001126,0.011101,0.04771,401.34,0,0,0.0,0.0,1,0,0,0.67,-2.6,-0.67,-2.59,0,0,0,0,Line,Eastern
12,7,874,0.001565,0.011833,0.01961,529.58,0,0,0.0,0.0,1,0,0,-20.06,1.63,20.06,-3.72,0,0,0,0,Line,Eastern
13,8,979,0.001466,0.006475,0.00906,193.8,0,0,0.0,0.0,1,0,0,22.77,-3.16,-22.76,2.21,0,0,0,0,Line,Eastern
14,10,28,0.002213,0.015092,0.00337,156.31,0,0,0.0,0.0,1,0,0,-5.42,-0.08,5.42,-0.28,0,0,0,0,Line,Eastern
15,1173,10,0.003064,0.01317,0.0016,151.44,0,0,0.0,0.0,1,0,0,4.54,0.66,-4.54,-0.83,0,0,0,0,Line,Eastern
16,11,28,0.002164,0.009179,0.00258,131.63,0,0,0.0,0.0,1,0,0,-0.57,1.24,0.57,-1.52,0,0,0,0,Line,Eastern
17,11,982,0.001765,0.007902,0.00242,163.88,0,0,0.0,0.0,1,0,0,-9.39,-5.54,9.39,5.29,0,0,0,0,Line,Eastern
18,12,34,0.0025,0.012261,0.00329,155.86,0,0,0.0,0.0,1,0,0,3.68,0.69,-3.68,-1.05,0,0,0,0,Line,Eastern
19,1072,12,0.003868,0.021127,0.00688,164.73,0,0,0.0,0.0,1,0,0,6.74,0.69,-6.74,-1.43,0,0,0,0,Line,Eastern
20,13,14,0.000207,0.001034,0.0,0.0,0,0,0.0,0.0,1,0,0,-2.51,-1.41,2.51,1.41,0,0,0,0,Line,Eastern
21,49,14,0.005325,0.017124,0.0029,130.28,0,0,0.0,0.0,1,0,0,-1.62,1.08,1.62,-1.39,0,0,0,0,Line,Eastern
22,14,51,0.00485,0.015255,0.00376,149.84,0,0,0.0,0.0,1,0,0,-4.12,-0.01,4.12,-0.4,0,0,0,0,Line,Eastern
23,16,15,0.002782,0.012778,0.00482,166.88,0,0,0.0,0.0,1,0,0,9.86,-3.83,-9.86,3.33,0,0,0,0,Line,Eastern
24,46,15,0.002835,0.015637,0.00941,158.71,0,0,0.0,0.0,1,0,0,-6.82,3.64,6.82,-4.65,0,0,0,0,Line,Eastern
25,16,17,0.010596,0.048047,0.00716,171.8,0,0,0.0,0.0,1,0,0,-12.37,3.38,12.38,-4.08,0,0,0,0,Line,Eastern
26,17,18,0.000227,0.00104,0.0,0.0,0,0,0.0,0.0,1,0,0,5.61,0.47,-5.61,-0.47,0,0,0,0,Line,Eastern
27,39,17,0.00895,0.039428,0.02145,183.47,0,0,0.0,0.0,1,0,0,18.02,-5.8,-17.99,3.61,0,0,0,0,Line,Eastern
28,19,20,0.000258,0.001105,0.0,0.0,0,0,0.0,0.0,1,0,0,15.83,0.97,-15.83,-0.97,0,0,0,0,Line,Eastern
29,875,19,0.002313,0.01188,0.00307,177.14,0,0,0.0,0.0,1,0,0,13.77,-2.22,-13.76,1.91,0,0,0,0,Line,Eastern
30,19,886,0.002169,0.009184,0.00131,130.17,0,0,0.0,0.0,1,0,0,-2.06,-2.88,2.07,2.74,0,0,0,0,Line,Eastern
31,22,21,0.001675,0.077302,0.0,195.84,0,0,1.01875,0.0,1,0,0,-15.8,-19.58,15.81,20.05,0,0,0,0,Transformer,Eastern
32,21,23,0.000282,0.001147,0.0,0.0,0,0,0.0,0.0,1,0,0,-15.81,-20.05,15.81,20.05,0,0,0,0,Line,Eastern
33,34,22,0.003356,0.015743,0.00418,168.54,0,0,0.0,0.0,1,0,0,-10.04,-8.23,10.04,7.8,0,0,0,0,Line,Eastern
34,886,22,0.001339,0.007491,0.00581,179.19,0,0,0.0,0.0,1,0,0,13.8,-8.17,-13.8,7.56,0,0,0,0,Line,Eastern
35,23,26,0.00108,0.011112,0.01658,414.47,0,0,0.0,0.0,1,0,0,-1.99,-8.44,1.99,6.65,0,0,0,0,Line,Eastern
36,874,23,0.000709,0.006274,0.01282,565.72,0,0,0.0,0.0,1,0,0,29.17,32.26,-29.16,-33.53,0,0,0,0,Line,Eastern
37,1215,23,0.000913,0.009083,0.05479,544.26,0,0,0.0,0.0,1,0,0,-15.34,-27.76,15.34,21.92,0,0,0,0,Line,Eastern
38,25,24,0.001543,0.067964,0.0,199.24,0,0,1.00625,0.0,1,0,0,-15.73,-8.63,15.73,8.84,0,0,0,0,Transformer,Eastern
39,24,26,0.000291,0.001066,0.0,0.0,0,0,0.0,0.0,1,0,0,-15.73,-8.84,15.73,8.84,0,0,0,0,Line,Eastern
40,25,46,0.003881,0.016398,0.00496,136.63,0,0,0.0,0.0,1,0,0,-2.87,2.77,2.87,-3.3,0,0,0,0,Line,Eastern
41,874,26,0.000992,0.008991,0.03267,527.8,0,0,0.0,0.0,1,0,0,17.73,11.98,-17.73,-15.49,0,0,0,0,Line,Eastern
42,28,27,0.000996,0.049961,0.0,239.48,0,0,1.0,0.0,1,0,0,-21.83,-2.54,21.83,2.77,0,0,0,0,Transformer,Eastern
43,27,29,0.000205,0.001118,0.0,0.0,0,0,0.0,0.0,1,0,0,-21.83,-2.77,21.83,2.77,0,0,0,0,Line,Eastern
44,48,29,0.001277,0.011838,0.04459,554.47,0,0,0.0,0.0,1,0,0,32.93,-0.59,-32.92,-4.14,0,0,0,0,Line,Eastern
45,29,874,0.001146,0.008678,0.02299,468.99,0,0,0.0,0.0,1,0,0,-3.78,2.66,3.78,-5.16,0,0,0,0,Line,Eastern
46,30,231,0.009327,0.033076,0.00856,183.85,0,0,0.0,0.0,1,0,0,24.54,-8.12,-24.48,7.39,0,0,0,0,Line,Eastern
