index,bus_id,type,Pd,Qd,Gs,Bs,zone_id,Vm,Va,baseKV,loss_zone,Vmax,Vmin,lam_P,lam_Q,mu_Vmax,mu_Vmin,interconnect,sub_id,Lat,Lon
0,1,1,0.0,0.0,0,-85.36,1,1.03511,-64.4101,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,0,43.9761,70.2211
1,2,1,0.0,0.0,0,0.0,1,1.03706,-65.2617,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,0,43.9761,70.2211
4,5,1,0.0,0.0,0,0.0,1,1.03607,-64.4033,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,0,43.9761,70.2211
5,6,1,0.0,0.0,0,0.0,1,1.03511,-64.4101,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,0,43.9761,70.2211
6,7,1,0.0,0.0,0,0.0,1,1.04233,-64.043,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,1,44.101,70.3053
7,8,1,0.0,0.0,0,0.0,1,1.04348,-64.6223,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,1,44.101,70.3053
8,9,1,11.48,5.89,0,0.0,1,1.04224,-64.0489,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,1,44.101,70.3053
9,10,1,9.97,0.92,0,0.0,1,1.04095,-64.5655,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,2,44.1799,70.186
10,11,1,9.97,4.3,0,0.0,1,1.04116,-64.5265,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,3,44.1433,70.2241
11,12,1,3.06,0.73,0,0.0,1,1.04266,-64.6921,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,4,44.0207,70.1805
12,13,1,2.51,1.41,0,0.0,1,1.04938,-64.1279,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,5,44.2482,70.1988
13,14,1,0.0,0.0,0,0.0,1,1.0494,-64.1267,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,5,44.2482,70.1988
14,15,1,3.04,1.32,0,0.0,1,1.04054,-64.4678,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,6,44.2301,70.1222
15,16,1,2.51,0.45,0,0.0,1,1.04037,-64.3959,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,7,44.2567,70.0894
16,17,1,0.0,0.0,0,0.0,1,1.0399,-64.0601,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,8,44.3398,70.0998
17,18,1,5.61,0.47,0,0.0,1,1.03989,-64.0631,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,8,44.3398,70.0998
18,19,1,0.0,0.0,0,0.0,1,1.04332,-64.5925,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,9,44.0989,70.155
19,20,1,15.83,0.97,0,0.0,1,1.04327,-64.6016,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,9,44.0989,70.155
20,21,1,0.0,0.0,0,0.0,1,1.03988,-64.0066,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,10,44.0775,70.139
21,22,1,19.56,4.22,0,0.0,1,1.044,-64.6456,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,10,44.0775,70.139
22,23,1,0.0,0.0,0,0.0,1,1.04014,-63.9999,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,10,44.0775,70.139
23,24,1,0.0,0.0,0,0.0,1,1.04084,-64.0,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,11,44.1273,70.0823
24,25,1,18.59,5.86,0,0.0,1,1.04135,-64.5615,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,11,44.1273,70.0823
25,26,1,0.0,0.0,0,0.0,1,1.04097,-63.9925,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,11,44.1273,70.0823
26,27,1,0.0,0.0,0,0.0,1,1.04254,-63.9478,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,12,44.1654,70.2236
27,28,1,15.83,4.34,0,0.0,1,1.04105,-64.5221,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,12,44.1654,70.2236
28,29,1,0.0,0.0,0,0.0,1,1.04261,-63.9352,230.0,1,1.1,0.9,63.95,0,0,0,Eastern,12,44.1654,70.2236
29,30,1,2.44,1.3,0,0.0,1,1.04009,-65.2353,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,13,43.95,70.1035
30,31,1,0.0,0.0,0,0.0,1,1.04079,-64.794,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,14,44.025,70.1141
31,32,1,2.44,0.18,0,0.0,1,1.04079,-64.7953,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,14,44.025,70.1141
32,33,1,2.44,1.06,0,0.0,1,1.04245,-64.716,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,15,44.0392,70.1505
33,34,1,0.0,0.0,0,0.0,1,1.04247,-64.7147,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,15,44.0392,70.1505
34,35,1,0.0,0.0,0,0.0,1,1.04034,-64.9108,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,16,43.9856,70.1025
35,36,1,4.99,0.91,0,0.0,1,1.04032,-64.9136,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,16,43.9856,70.1025
36,37,1,2.77,0.82,0,0.0,1,1.03957,-64.754,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,17,44.0498,70.0378
37,38,1,3.83,0.97,0,0.0,1,1.03963,-63.4375,115.0,1,1.1,0.9,63.95,0,0,0,Eastern,18,44.4496,70.1311
