from_zone,to_zone,b,rateA
0,1,0.32936,4743.63
0,2,0.8300799999999999,9517.400000000001
0,4,1.5124900000000001,10491.05
0,5,2.4559200000000003,21379.149999999994
0,6,3.3413099999999996,15069.429999999998
0,7,0.22675,4498.930000000001
0,8,0.9212,2518.72
1,0,0.009600000000000001,346.22
1,2,0.07651999999999999,1207.51
1,3,0.050879999999999995,1246.87
1,4,0.01974,777.8599999999999
1,5,0.053,942.36
1,6,0.015,144.31
1,7,0.7447699999999999,8692.59
1,8,1.1409200000000004,8918.859999999997
1,9,0.09082000000000001,915.1
2,0,1.0799100000000001,11655.98
2,1,0.02888,925.83
2,4,0.2905400000000001,3516.11
2,5,2.01962,17628.499999999996
2,6,0.24760999999999997,2910.1600000000008
2,7,0.07637,915.0699999999999
2,8,0.27325,3544.54
3,1,0.49374999999999997,3774.16
3,2,0.03573,322.09000000000003
3,4,0.1444,1522.8600000000001
3,5,0.01386,466.15
3,7,1.2060600000000004,12768.289999999999
3,8,0.15114,1298.79
3,9,3.278129999999998,41573.4
4,0,2.0840300000000003,13019.369999999999
4,1,0.09883,1741.4099999999999
4,2,0.37038000000000004,5110.050000000001
4,3,0.00962,143.33
4,5,1.65536,14912.95
4,6,4.449860000000001,26557.439999999995
4,7,0.41897,5763.34
4,8,0.3542,6287.73
4,9,0.12932,1438.76
5,0,2.94214,21860.340000000007
5,1,0.17671,1660.64
5,2,0.75667,8987.31
5,3,0.00241,358.02
5,4,2.9710599999999996,19417.3
5,6,0.72716,3125.9500000000003
5,7,2.1994499999999997,20173.309999999994
5,8,0.78904,3839.21
5,9,0.00847,151.56
6,0,1.9849300000000007,15649.159999999998
6,1,0.00281,157.79
6,2,0.06439000000000002,856.47
6,4,2.402599999999999,20269.640000000003
6,5,0.0643,847.4200000000001
6,8,0.02808,507.58
6,9,0.03588,131.24
7,0,0.74229,5505.12
7,1,0.46422,5381.08
7,2,0.30508,1970.6799999999998
7,3,0.8471000000000001,9877.26
7,4,0.43803,5677.04
7,5,1.36963,16309.890000000007
7,6,0.19185,935.4
7,8,1.8530499999999996,19782.020000000004
7,9,1.03158,8820.97
8,1,0.41831000000000007,7732.15
8,2,0.2275,3075.3199999999997
8,3,0.10213,628.05
8,4,0.31416,4220.209999999999
8,5,0.7015699999999999,3932.58
8,7,0.68756,10541.919999999998
8,9,0.0309,326.78999999999996
9,1,0.04736,660.41
9,2,0.00778,157.97
9,3,5.950670000000001,59826.590000000004
9,4,0.01217,166.0
9,7,1.1889999999999998,9722.12
9,8,0.00153,126.49
