branch_id,from_bus_id,to_bus_id
0,2.0,41.0
1,2.0,44.0
2,2.0,69.0
3,2.0,80.0
4,2.0,99.0
5,2.0,108.0
6,2.0,162.0
7,2.0,188.0
8,2.0,192.0
9,2.0,196.0
10,2.0,209.0
11,2.0,275.0
12,2.0,282.0
13,2.0,325.0
14,2.0,347.0
15,2.0,361.0
16,41.0,2.0
17,41.0,44.0
18,41.0,69.0
19,41.0,80.0
20,41.0,99.0
21,41.0,108.0
22,41.0,162.0
23,41.0,188.0
24,41.0,192.0
25,41.0,196.0
26,41.0,209.0
27,41.0,275.0
28,41.0,282.0
29,41.0,325.0
30,41.0,347.0
31,41.0,361.0
32,44.0,2.0
33,44.0,41.0
34,44.0,69.0
35,44.0,80.0
36,44.0,99.0
37,44.0,108.0
38,44.0,162.0
39,44.0,188.0
40,44.0,192.0
41,44.0,196.0
42,44.0,209.0
43,44.0,275.0
44,44.0,282.0
45,44.0,325.0
46,44.0,347.0
47,44.0,361.0
48,69.0,2.0
49,69.0,41.0
50,69.0,44.0
51,69.0,80.0
52,69.0,99.0
53,69.0,108.0
54,69.0,162.0
55,69.0,188.0
56,69.0,192.0
57,69.0,196.0
58,69.0,209.0
59,69.0,275.0
60,69.0,282.0
61,69.0,325.0
62,69.0,347.0
63,69.0,361.0
64,80.0,2.0
65,80.0,41.0
66,80.0,44.0
67,80.0,69.0
68,80.0,99.0
69,80.0,108.0
70,80.0,162.0
71,80.0,188.0
72,80.0,192.0
73,80.0,196.0
74,80.0,209.0
75,80.0,275.0
76,80.0,282.0
77,80.0,325.0
78,80.0,347.0
79,80.0,361.0
80,99.0,2.0
81,99.0,41.0
82,99.0,44.0
83,99.0,69.0
84,99.0,80.0
85,99.0,108.0
86,99.0,162.0
87,99.0,188.0
88,99.0,192.0
89,99.0,196.0
90,99.0,209.0
91,99.0,275.0
92,99.0,282.0
93,99.0,325.0
94,99.0,347.0
95,99.0,361.0
96,108.0,2.0
97,108.0,41.0
98,108.0,44.0
99,108.0,69.0
100,108.0,80.0
101,108.0,99.0
102,108.0,162.0
103,108.0,188.0
104,108.0,192.0
105,108.0,196.0
106,108.0,209.0
107,108.0,275.0
108,108.0,282.0
109,108.0,325.0
110,108.0,347.0
111,108.0,361.0
112,162.0,2.0
113,162.0,41.0
114,162.0,44.0
115,162.0,69.0
116,162.0,80.0
117,162.0,99.0
118,162.0,108.0
119,162.0,188.0
120,162.0,192.0
121,162.0,196.0
122,162.0,209.0
123,162.0,275.0
124,162.0,282.0
125,162.0,325.0
126,162.0,347.0
127,162.0,361.0
128,188.0,2.0
129,188.0,41.0
130,188.0,44.0
131,188.0,69.0
132,188.0,80.0
133,188.0,99.0
134,188.0,108.0
135,188.0,162.0
136,188.0,192.0
137,188.0,196.0
138,188.0,209.0
139,188.0,275.0
140,188.0,282.0
141,188.0,325.0
142,188.0,347.0
143,188.0,361.0
144,192.0,2.0
145,192.0,41.0
146,192.0,44.0
147,192.0,69.0
148,192.0,80.0
149,192.0,99.0
150,192.0,108.0
151,192.0,162.0
152,192.0,188.0
153,192.0,196.0
154,192.0,209.0
155,192.0,275.0
156,192.0,282.0
157,192.0,325.0
158,192.0,347.0
159,192.0,361.0
160,196.0,2.0
161,196.0,41.0
162,196.0,44.0
163,196.0,69.0
164,196.0,80.0
165,196.0,99.0
166,196.0,108.0
167,196.0,162.0
168,196.0,188.0
169,196.0,192.0
170,196.0,209.0
171,196.0,275.0
172,196.0,282.0
173,196.0,325.0
174,196.0,347.0
175,196.0,361.0
176,209.0,2.0
177,209.0,41.0
178,209.0,44.0
179,209.0,69.0
180,209.0,80.0
181,209.0,99.0
182,209.0,108.0
183,209.0,162.0
184,209.0,188.0
185,209.0,192.0
186,209.0,196.0
187,209.0,275.0
188,209.0,282.0
189,209.0,325.0
190,209.0,347.0
191,209.0,361.0
192,275.0,2.0
193,275.0,41.0
194,275.0,44.0
195,275.0,69.0
196,275.0,80.0
197,275.0,99.0
198,275.0,108.0
199,275.0,162.0
200,275.0,188.0
201,275.0,192.0
202,275.0,196.0
203,275.0,209.0
204,275.0,282.0
205,275.0,325.0
206,275.0,347.0
207,275.0,361.0
208,282.0,2.0
209,282.0,41.0
210,282.0,44.0
211,282.0,69.0
212,282.0,80.0
213,282.0,99.0
214,282.0,108.0
215,282.0,162.0
216,282.0,188.0
217,282.0,192.0
218,282.0,196.0
219,282.0,209.0
220,282.0,275.0
221,282.0,325.0
222,282.0,347.0
223,282.0,361.0
224,325.0,2.0
225,325.0,41.0
226,325.0,44.0
227,325.0,69.0
228,325.0,80.0
229,325.0,99.0
230,325.0,108.0
231,325.0,162.0
232,325.0,188.0
233,325.0,192.0
234,325.0,196.0
235,325.0,209.0
236,325.0,275.0
237,325.0,282.0
238,325.0,347.0
239,325.0,361.0
240,347.0,2.0
241,347.0,41.0
242,347.0,44.0
243,347.0,69.0
244,347.0,80.0
245,347.0,99.0
246,347.0,108.0
247,347.0,162.0
248,347.0,188.0
249,347.0,192.0
250,347.0,196.0
251,347.0,209.0
252,347.0,275.0
253,347.0,282.0
254,347.0,325.0
255,347.0,361.0
256,361.0,2.0
257,361.0,41.0
258,361.0,44.0
259,361.0,69.0
260,361.0,80.0
261,361.0,99.0
262,361.0,108.0
263,361.0,162.0
264,361.0,188.0
265,361.0,192.0
266,361.0,196.0
267,361.0,209.0
268,361.0,275.0
269,361.0,282.0
270,361.0,325.0
271,361.0,347.0
