Lat,Lon,bus_id,representative_id
41.1,-73.62,0,2
41.1,-73.4,1,2
41.32,-73.4,2,2
41.32,-73.18,3,2
41.32,-72.96,4,80
41.32,-72.74,5,2
41.32,-72.52,6,41
41.32,-72.3,7,41
41.54,-73.4,8,108
41.54,-73.18,9,2
41.54,-72.96,10,2
41.54,-72.74,11,2
41.54,-72.52,12,41
41.54,-72.3,13,41
41.54,-72.08,14,41
41.54,-71.86,15,41
41.54,-71.64,16,41
41.54,-71.2,17,41
41.54,-70.98,18,44
41.76,-73.4,19,41
41.76,-73.18,20,2
41.76,-72.96,21,2
41.76,-72.74,22,80
41.76,-72.52,23,44
41.76,-72.3,24,41
41.76,-72.08,25,41
41.76,-71.86,26,41
41.76,-71.64,27,41
41.76,-71.42,28,80
41.76,-71.2,29,44
41.76,-70.98,30,44
41.76,-70.76,31,41
41.76,-70.54,32,44
41.76,-70.1,33,41
41.98,-73.4,34,108
41.98,-73.18,35,41
41.98,-72.96,36,41
41.98,-72.74,37,41
41.98,-72.52,38,41
41.98,-72.3,39,41
41.98,-72.08,40,41
41.98,-71.86,41,41
41.98,-71.64,42,41
41.98,-71.42,43,44
41.98,-71.2,44,44
41.98,-70.98,45,44
41.98,-70.76,46,44
42.2,-73.4,47,108
42.2,-73.18,48,41
42.2,-72.96,49,41
42.2,-72.74,50,99
42.2,-72.52,51,44
42.2,-72.3,52,41
42.2,-72.08,53,99
42.2,-71.86,54,44
42.2,-71.64,55,44
42.2,-71.42,56,44
42.2,-71.2,57,80
42.2,-70.98,58,80
42.2,-70.76,59,41
42.42,-73.18,60,41
42.42,-72.96,61,99
42.42,-72.74,62,41
42.42,-72.52,63,108
42.42,-72.3,64,99
42.42,-72.08,65,99
42.42,-71.86,66,41
42.42,-71.64,67,41
42.42,-71.42,68,44
42.42,-71.2,69,69
42.64,-73.18,70,99
42.64,-72.96,71,108
42.64,-72.74,72,108
42.64,-72.52,73,108
42.64,-72.3,74,99
42.64,-72.08,75,99
42.64,-71.86,76,41
42.64,-71.64,77,41
42.64,-71.42,78,44
42.64,-71.2,79,80
42.64,-70.98,80,80
42.64,-70.76,81,44
42.86,-73.18,82,108
42.86,-72.96,83,99
42.86,-72.74,84,99
42.86,-72.52,85,108
42.86,-72.3,86,108
42.86,-72.08,87,99
42.86,-71.86,88,99
42.86,-71.64,89,99
42.86,-71.42,90,44
42.86,-71.2,91,44
42.86,-70.98,92,44
43.08,-73.18,93,99
43.08,-72.96,94,99
43.08,-72.74,95,192
43.08,-72.52,96,99
43.08,-72.3,97,99
43.08,-72.08,98,99
43.08,-71.86,99,99
43.08,-71.64,100,99
43.08,-71.42,101,99
43.08,-71.2,102,99
43.08,-70.98,103,99
43.08,-70.76,104,99
43.3,-73.18,105,162
43.3,-72.96,106,99
43.3,-72.74,107,108
43.3,-72.52,108,108
43.3,-72.3,109,99
43.3,-72.08,110,99
43.3,-71.86,111,192
43.3,-71.64,112,108
43.3,-71.42,113,108
43.3,-71.2,114,99
43.3,-70.98,115,99
43.3,-70.76,116,99
43.52,-73.18,117,162
43.52,-72.96,118,108
43.52,-72.74,119,108
43.52,-72.52,120,99
43.52,-72.3,121,99
43.52,-72.08,122,108
43.52,-71.86,123,108
43.52,-71.64,124,108
43.52,-71.42,125,99
43.52,-71.2,126,99
43.52,-70.98,127,99
43.52,-70.76,128,196
43.52,-70.54,129,196
43.74,-73.18,130,162
43.74,-72.96,131,99
43.74,-72.74,132,108
43.74,-72.52,133,99
43.74,-72.3,134,108
43.74,-72.08,135,108
43.74,-71.86,136,188
43.74,-71.64,137,108
43.74,-71.42,138,192
43.74,-71.2,139,99
43.74,-70.98,140,188
43.74,-70.76,141,196
43.74,-70.54,142,196
43.74,-70.32,143,44
43.96,-73.4,144,108
43.96,-73.18,145,162
43.96,-72.96,146,162
43.96,-72.74,147,108
43.96,-72.52,148,188
43.96,-72.3,149,209
43.96,-72.08,150,188
43.96,-71.86,151,188
43.96,-71.64,152,192
43.96,-71.42,153,188
43.96,-71.2,154,188
43.96,-70.98,155,188
43.96,-70.76,156,196
43.96,-70.54,157,196
43.96,-70.32,158,196
43.96,-70.1,159,196
43.96,-69.66,160,196
43.96,-69.22,161,196
44.18,-73.18,162,162
44.18,-72.96,163,162
44.18,-72.74,164,209
44.18,-72.52,165,188
44.18,-72.3,166,209
44.18,-72.08,167,188
44.18,-71.86,168,209
44.18,-71.64,169,209
44.18,-71.42,170,188
44.18,-71.2,171,192
44.18,-70.98,172,192
44.18,-70.76,173,188
44.18,-70.54,174,188
44.18,-70.32,175,196
44.18,-70.1,176,196
44.18,-69.88,177,196
44.18,-69.66,178,196
44.18,-69.44,179,196
44.18,-69.22,180,196
44.4,-73.18,181,162
44.4,-72.96,182,209
44.4,-72.74,183,188
44.4,-72.52,184,188
44.4,-72.3,185,209
44.4,-72.08,186,188
44.4,-71.86,187,209
44.4,-71.64,188,188
44.4,-71.42,189,188
44.4,-71.2,190,192
44.4,-70.98,191,192
44.4,-70.76,192,192
44.4,-70.54,193,188
44.4,-70.32,194,282
44.4,-70.1,195,196
44.4,-69.88,196,196
44.4,-69.66,197,196
44.4,-69.44,198,196
44.4,-69.22,199,196
44.4,-69.0,200,196
44.4,-68.34,201,196
44.4,-67.9,202,275
44.62,-73.18,203,162
44.62,-72.96,204,162
44.62,-72.74,205,209
44.62,-72.52,206,188
44.62,-72.3,207,209
44.62,-72.08,208,209
44.62,-71.86,209,209
44.62,-71.64,210,188
44.62,-71.42,211,188
44.62,-71.2,212,192
44.62,-70.98,213,209
44.62,-70.76,214,192
44.62,-70.54,215,282
44.62,-70.32,216,188
44.62,-70.1,217,282
44.62,-69.88,218,196
44.62,-69.66,219,196
44.62,-69.44,220,196
44.62,-69.22,221,275
44.62,-69.0,222,196
44.62,-68.78,223,196
44.62,-68.56,224,275
44.62,-68.34,225,275
44.62,-68.12,226,275
44.62,-67.9,227,275
44.62,-67.68,228,275
44.62,-67.46,229,275
44.84,-73.18,230,162
44.84,-72.96,231,162
44.84,-72.74,232,162
44.84,-72.52,233,209
44.84,-72.3,234,188
44.84,-72.08,235,209
44.84,-71.86,236,209
