Lat,Lon,bus_id,representative_id
41.1,-73.62,0,55
41.1,-73.4,1,55
41.32,-73.4,2,55
41.32,-73.18,3,55
41.32,-72.96,4,55
41.32,-72.74,5,55
41.32,-72.52,6,55
41.32,-72.3,7,55
41.54,-73.4,8,55
41.54,-73.18,9,55
41.54,-72.96,10,55
41.54,-72.74,11,55
41.54,-72.52,12,55
41.54,-72.3,13,55
41.54,-72.08,14,55
41.54,-71.86,15,55
41.54,-71.64,16,55
41.54,-71.2,17,55
41.54,-70.98,18,55
41.76,-73.4,19,55
41.76,-73.18,20,55
41.76,-72.96,21,55
41.76,-72.74,22,55
41.76,-72.52,23,55
41.76,-72.3,24,55
41.76,-72.08,25,55
41.76,-71.86,26,121
41.76,-71.64,27,55
41.76,-71.42,28,55
41.76,-71.2,29,55
41.76,-70.98,30,55
41.76,-70.76,31,55
41.76,-70.54,32,55
41.76,-70.1,33,55
41.98,-73.4,34,121
41.98,-73.18,35,55
41.98,-72.96,36,55
41.98,-72.74,37,55
41.98,-72.52,38,55
41.98,-72.3,39,55
41.98,-72.08,40,55
41.98,-71.86,41,55
41.98,-71.64,42,55
41.98,-71.42,43,55
41.98,-71.2,44,55
41.98,-70.98,45,55
41.98,-70.76,46,55
42.2,-73.4,47,121
42.2,-73.18,48,121
42.2,-72.96,49,55
42.2,-72.74,50,55
42.2,-72.52,51,55
42.2,-72.3,52,55
42.2,-72.08,53,121
42.2,-71.86,54,55
42.2,-71.64,55,55
42.2,-71.42,56,55
42.2,-71.2,57,55
42.2,-70.98,58,55
42.2,-70.76,59,55
42.42,-73.18,60,121
42.42,-72.96,61,121
42.42,-72.74,62,121
42.42,-72.52,63,121
42.42,-72.3,64,121
42.42,-72.08,65,121
42.42,-71.86,66,55
42.42,-71.64,67,55
42.42,-71.42,68,55
42.42,-71.2,69,55
42.64,-73.18,70,121
42.64,-72.96,71,121
42.64,-72.74,72,121
42.64,-72.52,73,121
42.64,-72.3,74,121
42.64,-72.08,75,121
42.64,-71.86,76,55
42.64,-71.64,77,55
42.64,-71.42,78,55
42.64,-71.2,79,55
42.64,-70.98,80,55
42.64,-70.76,81,55
42.86,-73.18,82,121
42.86,-72.96,83,121
42.86,-72.74,84,121
42.86,-72.52,85,121
42.86,-72.3,86,121
42.86,-72.08,87,121
42.86,-71.86,88,121
42.86,-71.64,89,121
42.86,-71.42,90,55
42.86,-71.2,91,55
42.86,-70.98,92,55
43.08,-73.18,93,121
43.08,-72.96,94,121
43.08,-72.74,95,121
43.08,-72.52,96,121
43.08,-72.3,97,121
43.08,-72.08,98,121
43.08,-71.86,99,121
43.08,-71.64,100,121
43.08,-71.42,101,121
43.08,-71.2,102,121
43.08,-70.98,103,55
43.08,-70.76,104,55
43.3,-73.18,105,121
43.3,-72.96,106,121
43.3,-72.74,107,121
43.3,-72.52,108,121
43.3,-72.3,109,121
43.3,-72.08,110,121
43.3,-71.86,111,121
43.3,-71.64,112,121
43.3,-71.42,113,121
43.3,-71.2,114,121
43.3,-70.98,115,121
43.3,-70.76,116,121
43.52,-73.18,117,121
43.52,-72.96,118,121
43.52,-72.74,119,121
43.52,-72.52,120,121
43.52,-72.3,121,121
43.52,-72.08,122,121
43.52,-71.86,123,121
43.52,-71.64,124,121
43.52,-71.42,125,121
43.52,-71.2,126,121
43.52,-70.98,127,121
43.52,-70.76,128,121
43.52,-70.54,129,55
43.74,-73.18,130,121
43.74,-72.96,131,121
43.74,-72.74,132,121
43.74,-72.52,133,121
43.74,-72.3,134,121
43.74,-72.08,135,121
43.74,-71.86,136,121
43.74,-71.64,137,121
43.74,-71.42,138,263
43.74,-71.2,139,121
43.74,-70.98,140,263
43.74,-70.76,141,121
43.74,-70.54,142,121
43.74,-70.32,143,55
43.96,-73.4,144,121
43.96,-73.18,145,121
43.96,-72.96,146,121
43.96,-72.74,147,121
43.96,-72.52,148,121
43.96,-72.3,149,121
43.96,-72.08,150,121
43.96,-71.86,151,263
43.96,-71.64,152,263
43.96,-71.42,153,263
43.96,-71.2,154,263
43.96,-70.98,155,263
43.96,-70.76,156,121
43.96,-70.54,157,121
43.96,-70.32,158,305
43.96,-70.1,159,305
43.96,-69.66,160,305
43.96,-69.22,161,305
44.18,-73.18,162,121
44.18,-72.96,163,121
44.18,-72.74,164,121
44.18,-72.52,165,121
44.18,-72.3,166,121
44.18,-72.08,167,121
44.18,-71.86,168,121
44.18,-71.64,169,121
44.18,-71.42,170,263
44.18,-71.2,171,263
44.18,-70.98,172,263
44.18,-70.76,173,263
44.18,-70.54,174,263
44.18,-70.32,175,121
44.18,-70.1,176,305
44.18,-69.88,177,305
44.18,-69.66,178,305
44.18,-69.44,179,305
44.18,-69.22,180,305
44.4,-73.18,181,121
44.4,-72.96,182,121
44.4,-72.74,183,121
44.4,-72.52,184,263
44.4,-72.3,185,121
44.4,-72.08,186,121
44.4,-71.86,187,121
44.4,-71.64,188,263
44.4,-71.42,189,263
44.4,-71.2,190,263
44.4,-70.98,191,263
44.4,-70.76,192,263
44.4,-70.54,193,263
44.4,-70.32,194,263
44.4,-70.1,195,263
44.4,-69.88,196,305
44.4,-69.66,197,305
44.4,-69.44,198,305
44.4,-69.22,199,305
44.4,-69.0,200,305
44.4,-68.34,201,305
44.4,-67.9,202,305
44.62,-73.18,203,121
44.62,-72.96,204,121
44.62,-72.74,205,121
44.62,-72.52,206,263
44.62,-72.3,207,121
44.62,-72.08,208,121
44.62,-71.86,209,121
44.62,-71.64,210,263
44.62,-71.42,211,263
44.62,-71.2,212,263
44.62,-70.98,213,263
44.62,-70.76,214,263
44.62,-70.54,215,263
44.62,-70.32,216,263
44.62,-70.1,217,263
44.62,-69.88,218,305
44.62,-69.66,219,305
44.62,-69.44,220,305
44.62,-69.22,221,305
44.62,-69.0,222,305
44.62,-68.78,223,305
44.62,-68.56,224,305
44.62,-68.34,225,305
44.62,-68.12,226,305
44.62,-67.9,227,305
44.62,-67.68,228,305
