branch_id,from_bus_id,to_bus_id
0,39.0,44.0
1,39.0,79.0
2,39.0,122.0
3,39.0,164.0
4,39.0,192.0
5,39.0,196.0
6,39.0,292.0
7,39.0,310.0
8,39.0,359.0
9,44.0,39.0
10,44.0,79.0
11,44.0,122.0
12,44.0,164.0
13,44.0,192.0
14,44.0,196.0
15,44.0,292.0
16,44.0,310.0
17,44.0,359.0
18,79.0,39.0
19,79.0,44.0
20,79.0,122.0
21,79.0,164.0
22,79.0,192.0
23,79.0,196.0
24,79.0,292.0
25,79.0,310.0
26,79.0,359.0
27,122.0,39.0
28,122.0,44.0
29,122.0,79.0
30,122.0,164.0
31,122.0,192.0
32,122.0,196.0
33,122.0,292.0
34,122.0,310.0
35,122.0,359.0
36,164.0,39.0
37,164.0,44.0
38,164.0,79.0
39,164.0,122.0
40,164.0,192.0
41,164.0,196.0
42,164.0,292.0
43,164.0,310.0
44,164.0,359.0
45,192.0,39.0
46,192.0,44.0
47,192.0,79.0
48,192.0,122.0
49,192.0,164.0
50,192.0,196.0
51,192.0,292.0
52,192.0,310.0
53,192.0,359.0
54,196.0,39.0
55,196.0,44.0
56,196.0,79.0
57,196.0,122.0
58,196.0,164.0
59,196.0,192.0
60,196.0,292.0
61,196.0,310.0
62,196.0,359.0
63,292.0,39.0
64,292.0,44.0
65,292.0,79.0
66,292.0,122.0
67,292.0,164.0
68,292.0,192.0
69,292.0,196.0
70,292.0,310.0
71,292.0,359.0
72,310.0,39.0
73,310.0,44.0
74,310.0,79.0
75,310.0,122.0
76,310.0,164.0
77,310.0,192.0
78,310.0,196.0
79,310.0,292.0
80,310.0,359.0
81,359.0,39.0
82,359.0,44.0
83,359.0,79.0
84,359.0,122.0
85,359.0,164.0
86,359.0,192.0
87,359.0,196.0
88,359.0,292.0
89,359.0,310.0
