branch_id,from_bus_id,to_bus_id
0,1.0,2.0
1,1.0,5.0
2,1.0,7.0
3,1.0,8.0
4,1.0,9.0
5,1.0,11.0
6,1.0,12.0
7,1.0,13.0
8,1.0,16.0
9,2.0,1.0
10,2.0,5.0
11,2.0,7.0
12,2.0,8.0
13,2.0,9.0
14,2.0,11.0
15,2.0,12.0
16,2.0,13.0
17,2.0,16.0
18,5.0,1.0
19,5.0,2.0
20,5.0,7.0
21,5.0,8.0
22,5.0,9.0
23,5.0,11.0
24,5.0,12.0
25,5.0,13.0
26,5.0,16.0
27,7.0,1.0
28,7.0,2.0
29,7.0,5.0
30,7.0,8.0
31,7.0,9.0
32,7.0,11.0
33,7.0,12.0
34,7.0,13.0
35,7.0,16.0
36,8.0,1.0
37,8.0,2.0
38,8.0,5.0
39,8.0,7.0
40,8.0,9.0
41,8.0,11.0
42,8.0,12.0
43,8.0,13.0
44,8.0,16.0
45,9.0,1.0
46,9.0,2.0
47,9.0,5.0
48,9.0,7.0
49,9.0,8.0
50,9.0,11.0
51,9.0,12.0
52,9.0,13.0
53,9.0,16.0
54,11.0,1.0
55,11.0,2.0
56,11.0,5.0
57,11.0,7.0
58,11.0,8.0
59,11.0,9.0
60,11.0,12.0
61,11.0,13.0
62,11.0,16.0
63,12.0,1.0
64,12.0,2.0
65,12.0,5.0
66,12.0,7.0
67,12.0,8.0
68,12.0,9.0
69,12.0,11.0
70,12.0,13.0
71,12.0,16.0
72,13.0,1.0
73,13.0,2.0
74,13.0,5.0
75,13.0,7.0
76,13.0,8.0
77,13.0,9.0
78,13.0,11.0
79,13.0,12.0
80,13.0,16.0
81,16.0,1.0
82,16.0,2.0
83,16.0,5.0
84,16.0,7.0
85,16.0,8.0
86,16.0,9.0
87,16.0,11.0
88,16.0,12.0
89,16.0,13.0
