branch_id,from_bus_id,to_bus_id
0,0.0,1.0
1,0.0,2.0
2,0.0,3.0
3,0.0,4.0
4,0.0,5.0
5,0.0,6.0
6,0.0,7.0
7,0.0,8.0
8,0.0,9.0
9,0.0,10.0
10,0.0,11.0
11,0.0,12.0
12,0.0,13.0
13,0.0,14.0
14,0.0,15.0
15,0.0,16.0
16,1.0,0.0
17,1.0,2.0
18,1.0,3.0
19,1.0,4.0
20,1.0,5.0
21,1.0,6.0
22,1.0,7.0
23,1.0,8.0
24,1.0,9.0
25,1.0,10.0
26,1.0,11.0
27,1.0,12.0
28,1.0,13.0
29,1.0,14.0
30,1.0,15.0
31,1.0,16.0
32,2.0,0.0
33,2.0,1.0
34,2.0,3.0
35,2.0,4.0
36,2.0,5.0
37,2.0,6.0
38,2.0,7.0
39,2.0,8.0
40,2.0,9.0
41,2.0,10.0
42,2.0,11.0
43,2.0,12.0
44,2.0,13.0
45,2.0,14.0
46,2.0,15.0
47,2.0,16.0
48,3.0,0.0
49,3.0,1.0
50,3.0,2.0
51,3.0,4.0
52,3.0,5.0
53,3.0,6.0
54,3.0,7.0
55,3.0,8.0
56,3.0,9.0
57,3.0,10.0
58,3.0,11.0
59,3.0,12.0
60,3.0,13.0
61,3.0,14.0
62,3.0,15.0
63,3.0,16.0
64,4.0,0.0
65,4.0,1.0
66,4.0,2.0
67,4.0,3.0
68,4.0,5.0
69,4.0,6.0
70,4.0,7.0
71,4.0,8.0
72,4.0,9.0
73,4.0,10.0
74,4.0,11.0
75,4.0,12.0
76,4.0,13.0
77,4.0,14.0
78,4.0,15.0
79,4.0,16.0
80,5.0,0.0
81,5.0,1.0
82,5.0,2.0
83,5.0,3.0
84,5.0,4.0
85,5.0,6.0
86,5.0,7.0
87,5.0,8.0
88,5.0,9.0
89,5.0,10.0
90,5.0,11.0
91,5.0,12.0
92,5.0,13.0
93,5.0,14.0
94,5.0,15.0
95,5.0,16.0
96,6.0,0.0
97,6.0,1.0
98,6.0,2.0
99,6.0,3.0
100,6.0,4.0
101,6.0,5.0
102,6.0,7.0
103,6.0,8.0
104,6.0,9.0
105,6.0,10.0
106,6.0,11.0
107,6.0,12.0
108,6.0,13.0
109,6.0,14.0
110,6.0,15.0
111,6.0,16.0
112,7.0,0.0
113,7.0,1.0
114,7.0,2.0
115,7.0,3.0
116,7.0,4.0
117,7.0,5.0
118,7.0,6.0
119,7.0,8.0
120,7.0,9.0
121,7.0,10.0
122,7.0,11.0
123,7.0,12.0
124,7.0,13.0
125,7.0,14.0
126,7.0,15.0
127,7.0,16.0
128,8.0,0.0
129,8.0,1.0
130,8.0,2.0
131,8.0,3.0
132,8.0,4.0
133,8.0,5.0
134,8.0,6.0
135,8.0,7.0
136,8.0,9.0
137,8.0,10.0
138,8.0,11.0
139,8.0,12.0
140,8.0,13.0
141,8.0,14.0
142,8.0,15.0
143,8.0,16.0
144,9.0,0.0
145,9.0,1.0
146,9.0,2.0
147,9.0,3.0
148,9.0,4.0
149,9.0,5.0
150,9.0,6.0
151,9.0,7.0
152,9.0,8.0
153,9.0,10.0
154,9.0,11.0
155,9.0,12.0
156,9.0,13.0
157,9.0,14.0
158,9.0,15.0
159,9.0,16.0
160,10.0,0.0
161,10.0,1.0
162,10.0,2.0
163,10.0,3.0
164,10.0,4.0
165,10.0,5.0
166,10.0,6.0
167,10.0,7.0
168,10.0,8.0
169,10.0,9.0
170,10.0,11.0
171,10.0,12.0
172,10.0,13.0
173,10.0,14.0
174,10.0,15.0
175,10.0,16.0
176,11.0,0.0
177,11.0,1.0
178,11.0,2.0
179,11.0,3.0
180,11.0,4.0
181,11.0,5.0
182,11.0,6.0
183,11.0,7.0
184,11.0,8.0
185,11.0,9.0
186,11.0,10.0
187,11.0,12.0
188,11.0,13.0
189,11.0,14.0
190,11.0,15.0
191,11.0,16.0
192,12.0,0.0
193,12.0,1.0
194,12.0,2.0
195,12.0,3.0
196,12.0,4.0
197,12.0,5.0
198,12.0,6.0
199,12.0,7.0
200,12.0,8.0
201,12.0,9.0
202,12.0,10.0
203,12.0,11.0
204,12.0,13.0
205,12.0,14.0
206,12.0,15.0
207,12.0,16.0
208,13.0,0.0
209,13.0,1.0
210,13.0,2.0
211,13.0,3.0
212,13.0,4.0
213,13.0,5.0
214,13.0,6.0
215,13.0,7.0
216,13.0,8.0
217,13.0,9.0
218,13.0,10.0
219,13.0,11.0
220,13.0,12.0
221,13.0,14.0
222,13.0,15.0
223,13.0,16.0
224,14.0,0.0
225,14.0,1.0
226,14.0,2.0
227,14.0,3.0
228,14.0,4.0
229,14.0,5.0
230,14.0,6.0
231,14.0,7.0
232,14.0,8.0
233,14.0,9.0
234,14.0,10.0
235,14.0,11.0
236,14.0,12.0
237,14.0,13.0
238,14.0,15.0
239,14.0,16.0
240,15.0,0.0
241,15.0,1.0
242,15.0,2.0
243,15.0,3.0
244,15.0,4.0
245,15.0,5.0
246,15.0,6.0
247,15.0,7.0
248,15.0,8.0
249,15.0,9.0
250,15.0,10.0
251,15.0,11.0
252,15.0,12.0
253,15.0,13.0
254,15.0,14.0
255,15.0,16.0
256,16.0,0.0
257,16.0,1.0
258,16.0,2.0
259,16.0,3.0
260,16.0,4.0
261,16.0,5.0
262,16.0,6.0
263,16.0,7.0
264,16.0,8.0
265,16.0,9.0
266,16.0,10.0
267,16.0,11.0
268,16.0,12.0
269,16.0,13.0
270,16.0,14.0
271,16.0,15.0
